"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Lower-middle-income","Solomon Islands","184 [86-317]","184","86","317",
"Number of prevalent tuberculosis cases ","Published","2009","Eastern Mediterranean","Upper-middle-income","Libya","3300 [1300-6100]","3300","1300","6100",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Upper-middle-income","Mauritius","0.97 [0.96-0.98]","0.97","0.96","0.98",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","High-income","New Zealand","380 [130-770]","380","130","770",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Lower-middle-income","Republic of Moldova","8800 [4200-15000]","8800","4200","15000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Lower-middle-income","Swaziland","63 [2.5-219]","63","2.5","219",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","Lower-middle-income","El Salvador","1.6 [1.2-2.1]","1.6","1.2","2.1",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Philippines","27 [25-29]","27","25","29",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Liberia","48 [20-90]","48","20","90",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Americas","Upper-middle-income","Saint Lucia","3.3 [3.1-3.5]","3.3","3.1","3.5",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","Upper-middle-income","The former Yugoslav Republic of Macedonia","1.1 [1.1-1.2]","1.1","1.1","1.2",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","Upper-middle-income","Romania","186 [78-339]","186","78","339",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Cuba","14 [5.9-25]","14","5.9","25",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","South-East Asia","Low-income","Bangladesh","70000 [28000-130000]","70000","28000","130000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","Lower-middle-income","Turkmenistan","800 [520-1100]","800","520","1100",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","Upper-middle-income","Libya","6.8 [2.9-12]","6.8","2.9","12",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Central African Republic","72 [28-136]","72","28","136",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Americas","Lower-middle-income","Paraguay","3 [2.5-3.6]","3","2.5","3.6",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","High-income","Norway","0.14 [0.14-0.14]","0.14","0.14","0.14",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Eastern Mediterranean","Lower-middle-income","Iraq","980 [39-3400]","980","39","3400",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Low-income","Mauritania","3500 [1300-6900]","3500","1300","6900",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","High-income","Canada","0.19 [0.19-0.19]","0.19","0.19","0.19",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","Lower-middle-income","Philippines","510000 [460000-570000]","510000","460000","570000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Eritrea","5.4 [3.6-7.6]","5.4","3.6","7.6",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","High-income","Finland","0.39 [0.39-0.39]","0.39","0.39","0.39",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Lower-middle-income","Belize","4.3 [4.3-4.3]","4.3","4.3","4.3",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","Lower-middle-income","Tonga","33 [13-61]","33","13","61",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Americas","Lower-middle-income","Ecuador","5 [4.3-5.7]","5","4.3","5.7",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Western Pacific","Upper-middle-income","Tuvalu","176 [53-371]","176","53","371",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Upper-middle-income","Gabon","67 [24-131]","67","24","131",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","High-income","Barbados","7.9 [4-13]","7.9","4","13",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Chile","23 [9.9-41]","23","9.9","41",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","Lower-middle-income","Republic of Moldova","18 [18-18]","18","18","18",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Mozambique","13000 [890-40000]","13000","890","40000",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Upper-middle-income","Turkey","17000 [7900-30000]","17000","7900","30000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","South-East Asia","Lower-middle-income","Indonesia","28 [12-50]","28","12","50",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","Lower-middle-income","Republic of Moldova","9000 [4000-16000]","9000","4000","16000",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Low-income","Haiti","2900 [1100-5400]","2900","1100","5400",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Vanuatu","105 [47-185]","105","47","185",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Luxembourg","7.5 [2.5-15]","7.5","2.5","15",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","710 [410-1100]","710","410","1100",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","South-East Asia","Lower-middle-income","Sri Lanka","760 [620-910]","760","620","910",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Kiribati","632 [262-1160]","632","262","1160",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","Lower-middle-income","Mongolia","11000 [5700-17000]","11000","5700","17000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","High-income","Israel","0.23 [0.23-0.24]","0.23","0.23","0.24",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Eastern Mediterranean","High-income","Kuwait","60 [30-100]","60","30","100",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Lower-middle-income","Lesotho","12 [0-66]","12","0","66",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","High-income","Canada","2500 [1100-4300]","2500","1100","4300",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Low-income","Guinea","2600 [1100-4800]","2600","1100","4800",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Low-income","Uganda","6400 [750-18000]","6400","750","18000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","Low-income","Kyrgyzstan","222 [98-396]","222","98","396",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Lower-middle-income","Belize","2.8 [2.7-2.8]","2.8","2.7","2.8",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Senegal","20 [9-36]","20","9","36",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","Upper-middle-income","Grenada","1.7 [1.7-1.7]","1.7","1.7","1.7",
"Number of prevalent tuberculosis cases ","Published","2008","Eastern Mediterranean","High-income","Oman","610 [290-1000]","610","290","1000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Low-income","Burkina Faso","82 [42-136]","82","42","136",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","High-income","Switzerland","18 [17-18]","18","17","18",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Ethiopia","16000 [12000-21000]","16000","12000","21000",
"Number of prevalent tuberculosis cases ","Published","2008","South-East Asia","Lower-middle-income","Timor-Leste","7900 [3500-14000]","7900","3500","14000",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Upper-middle-income","Namibia","23000 [7800-46000]","23000","7800","46000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","High-income","Denmark","0.63 [0.61-0.66]","0.63","0.61","0.66",
"Number of prevalent tuberculosis cases ","Published","2010","Eastern Mediterranean","Lower-middle-income","Tunisia","4100 [1700-7600]","4100","1700","7600",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Tonga","28 [13-50]","28","13","50",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","United Republic of Tanzania","6000 [3200-9700]","6000","3200","9700",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Lower-middle-income","Guyana","120 [98-130]","120","98","130",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","Upper-middle-income","Montenegro","1.2 [0.84-1.5]","1.2","0.84","1.5",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Upper-middle-income","Namibia","15000 [5300-31000]","15000","5300","31000",
"Number of prevalent tuberculosis cases ","Published","2010","Eastern Mediterranean","High-income","Bahrain","340 [110-690]","340","110","690",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","Lower-middle-income","Belize","150 [64-260]","150","64","260",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Eastern Mediterranean","Lower-middle-income","Sudan","9600 [4100-17000]","9600","4100","17000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","High-income","Saudi Arabia","1100 [100-3200]","1100","100","3200",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Upper-middle-income","Uruguay","53 [50-56]","53","50","56",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","Lower-middle-income","Albania","24 [10-43]","24","10","43",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Low-income","Rwanda","17000 [9300-28000]","17000","9300","28000",
"Number of prevalent tuberculosis cases ","Published","2010","South-East Asia","Lower-middle-income","Maldives","170 [65-310]","170","65","310",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Denmark","590 [270-1000]","590","270","1000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Germany","8.3 [3.6-15]","8.3","3.6","15",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","China","3.2 [3.1-3.3]","3.2","3.1","3.3",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Americas","Lower-middle-income","Guatemala","350 [320-380]","350","320","380",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Lower-middle-income","Mongolia","9100 [4600-15000]","9100","4600","15000",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","Low-income","Uzbekistan","52000 [26000-86000]","52000","26000","86000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Upper-middle-income","South Africa","831 [289-1652]","831","289","1652",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","South-East Asia","Lower-middle-income","India","320000 [210000-460000]","320000","210000","460000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Lower-middle-income","Congo","1800 [780-3400]","1800","780","3400",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","Guinea-Bissau","29 [9.8-59]","29","9.8","59",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Belgium","14 [6-25]","14","6","25",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Low-income","Togo","530 [230-950]","530","230","950",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Malawi","1500 [560-3000]","1500","560","3000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","High-income","Netherlands","25 [25-26]","25","25","26",
"Number of prevalent tuberculosis cases ","Published","2012","Americas","Upper-middle-income","Grenada","7.1 [2.2-15]","7.1","2.2","15",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Americas","Upper-middle-income","Saint Kitts and Nevis","1.1 [1.1-1.2]","1.1","1.1","1.2",
"Number of prevalent tuberculosis cases ","Published","2011","South-East Asia","Lower-middle-income","Timor-Leste","7600 [3100-14000]","7600","3100","14000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Low-income","Gambia","690 [270-1300]","690","270","1300",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Upper-middle-income","Brazil","5100 [4800-5400]","5100","4800","5400",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","Lower-middle-income","China","56000 [54000-57000]","56000","54000","57000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","High-income","Antigua and Barbuda","4.8 [1.6-9.9]","4.8","1.6","9.9",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Lower-middle-income","Cabo Verde","237 [119-395]","237","119","395",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Dominica","16 [4.6-33]","16","4.6","33",
"Number of prevalent tuberculosis cases ","Published","2012","Americas","Upper-middle-income","Panama","2400 [1200-4200]","2400","1200","4200",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Lower-middle-income","Marshall Islands","47 [0.28-200]","47","0.28","200",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","Lower-middle-income","Ukraine","22 [22-23]","22","22","23",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Democratic Republic of the Congo","54 [24-97]","54","24","97",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Mexico","2.1 [2-2.2]","2.1","2","2.2",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Lower-middle-income","Nicaragua","55 [19-112]","55","19","112",
"Number of prevalent tuberculosis cases ","Published","2009","Africa","Upper-middle-income","Mauritius","510 [250-840]","510","250","840",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","High-income","Croatia","840 [340-1600]","840","340","1600",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Low-income","Zimbabwe","4100 [17-18000]","4100","17","18000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Eastern Mediterranean","High-income","Saudi Arabia","1000 [98-3000]","1000","98","3000",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Upper-middle-income","Botswana","580 [170-1200]","580","170","1200",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","Lower-middle-income","Albania","710 [280-1300]","710","280","1300",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","Lower-middle-income","Samoa","55 [26-95]","55","26","95",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Western Pacific","Upper-middle-income","Fiji","2.2 [2.1-2.3]","2.2","2.1","2.3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","High-income","Brunei Darussalam","91 [41-161]","91","41","161",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","High-income","Republic of Korea","5.4 [0.32-17]","5.4","0.32","17",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Upper-middle-income","Algeria","14 [5-29]","14","5","29",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Andorra","9 [2.7-19]","9","2.7","19",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Rwanda","12 [5.7-21]","12","5.7","21",
"Number of prevalent tuberculosis cases ","Published","2010","Western Pacific","High-income","New Zealand","480 [210-870]","480","210","870",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Low-income","Kyrgyzstan","520 [510-530]","520","510","530",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Cyprus","100 [49-180]","100","49","180",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","Upper-middle-income","Costa Rica","1400 [750-2300]","1400","750","2300",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","High-income","Monaco","0.06 [0-0.31]","0.06","0","0.31",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","Upper-middle-income","Serbia","46 [19-85]","46","19","85",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","Lower-middle-income","Armenia","7.7 [6.1-9.5]","7.7","6.1","9.5",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","High-income","Sweden","0.14 [0.13-0.14]","0.14","0.13","0.14",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Lower-middle-income","Angola","7600 [3500-13000]","7600","3500","13000",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Americas","Lower-middle-income","Guyana","110 [98-130]","110","98","130",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Upper-middle-income","Russian Federation","19000 [18000-20000]","19000","18000","20000",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","Low-income","Niue","0.16 [0.05-0.34]","0.16","0.05","0.34",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Upper-middle-income","Latvia","53 [52-54]","53","52","54",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Austria","0.48 [0.48-0.49]","0.48","0.48","0.49",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Low-income","Tajikistan","610 [460-780]","610","460","780",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Ghana","12 [5.6-21]","12","5.6","21",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Upper-middle-income","Malaysia","1500 [1000-2200]","1500","1000","2200",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","High-income","United Kingdom","0.54 [0.54-0.55]","0.54","0.54","0.55",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Malta","43 [14-87]","43","14","87",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Low-income","Central African Republic","579 [279-987]","579","279","987",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Argentina","1.3 [1.3-1.4]","1.3","1.3","1.4",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Papua New Guinea","600 [226-1150]","600","226","1150",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","South-East Asia","Low-income","Myanmar","31000 [13000-55000]","31000","13000","55000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Eastern Mediterranean","High-income","United Arab Emirates","6.6 [2.8-12]","6.6","2.8","12",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","High-income","Monaco","0.91 [0.27-1.9]","0.91","0.27","1.9",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","High-income","United States of America","6.5 [2.9-11]","6.5","2.9","11",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","Croatia","99 [99-100]","99","99","100",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","Lower-middle-income","El Salvador","2500 [1100-4600]","2500","1100","4600",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","High-income","Antigua and Barbuda","1.4 [1.3-1.6]","1.4","1.3","1.6",
"Number of prevalent tuberculosis cases ","Published","2010","Western Pacific","Lower-middle-income","Philippines","470000 [410000-530000]","470000","410000","530000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","2.1 [0.96-3.7]","2.1","0.96","3.7",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","Lower-middle-income","Paraguay","4200 [2100-7100]","4200","2100","7100",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","High-income","Sweden","920 [370-1700]","920","370","1700",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Dominican Republic","107 [53-181]","107","53","181",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Slovakia","0.77 [0.76-0.77]","0.77","0.76","0.77",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","Upper-middle-income","Saint Kitts and Nevis","2.9 [0.84-6.3]","2.9","0.84","6.3",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Americas","Upper-middle-income","Panama","180 [170-190]","180","170","190",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Lower-middle-income","Ukraine","144 [68-248]","144","68","248",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Americas","Lower-middle-income","El Salvador","34 [12-67]","34","12","67",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Colombia","2.2 [2.2-2.3]","2.2","2.2","2.3",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","High-income","Qatar","0.17 [0.1-0.25]","0.17","0.1","0.25",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Israel","650 [300-1100]","650","300","1100",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","South-East Asia","Low-income","Democratic People's Republic of Korea","10 [9.5-11]","10","9.5","11",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","36 [3.7-100]","36","3.7","100",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Upper-middle-income","Algeria","49000 [20000-91000]","49000","20000","91000",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","High-income","United Kingdom","14000 [6800-25000]","14000","6800","25000",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Upper-middle-income","Lithuania","260 [260-260]","260","260","260",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","High-income","Republic of Korea","74000 [61000-89000]","74000","61000","89000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","Lower-middle-income","Pakistan","34 [15-61]","34","15","61",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Poland","2.1 [2-2.1]","2.1","2","2.1",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","Ghana","6.9 [3.5-11]","6.9","3.5","11",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","Lower-middle-income","Guatemala","16000 [7900-27000]","16000","7900","27000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Jamaica","0.22 [0.18-0.26]","0.22","0.18","0.26",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","Lower-middle-income","Morocco","9.2 [4.4-16]","9.2","4.4","16",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Low-income","Liberia","495 [244-832]","495","244","832",
"Number of prevalent tuberculosis cases ","Published","2011","Americas","Upper-middle-income","Saint Lucia","11 [3.6-22]","11","3.6","22",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","High-income","Ireland","18 [18-18]","18","18","18",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","Upper-middle-income","Kazakhstan","3100 [2800-3300]","3100","2800","3300",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","Malta","3.9 [3.9-3.9]","3.9","3.9","3.9",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","High-income","Portugal","3600 [1600-6400]","3600","1600","6400",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","Lower-middle-income","Djibouti","76 [33-139]","76","33","139",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Mali","13000 [7300-21000]","13000","7300","21000",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","South-East Asia","Lower-middle-income","Thailand","11000 [4800-20000]","11000","4800","20000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Lesotho","439 [139-905]","439","139","905",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Belgium","0.33 [0.32-0.33]","0.33","0.32","0.33",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","25 [0.64-93]","25","0.64","93",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Upper-middle-income","Malaysia","123 [64-201]","123","64","201",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Eastern Mediterranean","Low-income","Yemen","1800 [780-3200]","1800","780","3200",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Eastern Mediterranean","Lower-middle-income","Jordan","0.64 [0-7.3]","0.64","0","7.3",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Americas","Lower-middle-income","Bolivia (Plurinational State of)","22 [9.4-40]","22","9.4","40",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Dominican Republic","6.5 [4.3-9.1]","6.5","4.3","9.1",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","2.2 [0.99-4]","2.2","0.99","4",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Low-income","Zimbabwe","4000 [37-17000]","4000","37","17000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Low-income","Lao People's Democratic Republic","596 [383-857]","596","383","857",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","High-income","Greece","74 [70-78]","74","70","78",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Burkina Faso","10 [4.4-19]","10","4.4","19",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Africa","Low-income","Senegal","217 [106-366]","217","106","366",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","Upper-middle-income","Saint Vincent and the Grenadines","2.8 [2.7-2.9]","2.8","2.7","2.9",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","South-East Asia","Lower-middle-income","Bhutan","36 [16-64]","36","16","64",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Serbia","1.7 [1.5-1.8]","1.7","1.5","1.8",
"Number of prevalent tuberculosis cases ","Published","2009","Africa","Low-income","Ghana","32000 [17000-51000]","32000","17000","51000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Mexico","34 [16-57]","34","16","57",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","South-East Asia","Lower-middle-income","Timor-Leste","689 [279-1279]","689","279","1279",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","Lower-middle-income","Armenia","230 [180-280]","230","180","280",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Lower-middle-income","Nigeria","37000 [1400-130000]","37000","1400","130000",
"Number of prevalent tuberculosis cases ","Published","2007","South-East Asia","Lower-middle-income","India","3800000 [2900000-4800000]","3800000","2900000","4800000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Czech Republic","0.49 [0.48-0.49]","0.49","0.48","0.49",
