"DE","Year","Country","CO","Numeric"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Philippines",,"32"
"Number of deaths due to tuberculosis excluding HIV","2008","Algeria",,"4500"
"Prevalence of tuberculosis (per 100 000 population)","2011","Brazil",,"62"
"Number of deaths due to tuberculosis excluding HIV","2007","Rwanda",,"1500"
"Number of deaths due to tuberculosis excluding HIV","2010","Dominica",,"2.3"
"Prevalence of tuberculosis (per 100 000 population)","2011","Oman",,"17"
"Number of deaths due to tuberculosis excluding HIV","2012","Argentina",,"550"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Yemen",,"5.6"
"Number of prevalent tuberculosis cases ","2012","Cambodia",,"110000"
"Number of deaths due to tuberculosis excluding HIV","2012","Yemen",,"1300"
"Number of prevalent tuberculosis cases ","2011","Netherlands",,"1500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Viet Nam",,"23"
"Number of deaths due to tuberculosis excluding HIV","2009","Viet Nam",,"20000"
"Number of prevalent tuberculosis cases ","2010","Israel",,"460"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Papua New Guinea",,"55"
"Number of prevalent tuberculosis cases ","2007","Mali",,"13000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","United States of America",,"0.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Singapore",,"2.2"
"Prevalence of tuberculosis (per 100 000 population)","2007","Equatorial Guinea",,"148"
"Number of prevalent tuberculosis cases ","2012","Ghana",,"23000"
"Number of deaths due to tuberculosis excluding HIV","2009","Jamaica",,"7.7"
"Number of deaths due to tuberculosis excluding HIV","2007","Greece",,"100"
"Prevalence of tuberculosis (per 100 000 population)","2010","Gabon",,"663"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Mongolia",,"8.5"
"Prevalence of tuberculosis (per 100 000 population)","2008","Slovakia",,"18"
"Prevalence of tuberculosis (per 100 000 population)","2011","Mozambique",,"544"
"Prevalence of tuberculosis (per 100 000 population)","2010","Brunei Darussalam",,"99"
"Number of prevalent tuberculosis cases ","2008","Benin",,"9900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Seychelles",,"2.1"
"Number of prevalent tuberculosis cases ","2011","Mozambique",,"130000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Dominican Republic",,"5.3"
"Number of deaths due to tuberculosis excluding HIV","2009","Seychelles",,"1.9"
"Number of deaths due to tuberculosis excluding HIV","2010","United Arab Emirates",,"22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Andorra",,"0.73"
"Number of prevalent tuberculosis cases ","2009","Norway",,"650"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Egypt",,"0.46"
"Number of deaths due to tuberculosis excluding HIV","2009","Madagascar",,"10000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Israel",,"6.1"
"Number of deaths due to tuberculosis excluding HIV","2007","Singapore",,"100"
"Number of prevalent tuberculosis cases ","2012","Latvia",,"1600"
"Number of deaths due to tuberculosis excluding HIV","2007","Equatorial Guinea",,"0"
"Prevalence of tuberculosis (per 100 000 population)","2009","Jamaica",,"9.2"
"Number of prevalent tuberculosis cases ","2010","Gabon",,"10000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Panama",,"5.2"
"Prevalence of tuberculosis (per 100 000 population)","2011","Sao Tome and Principe",,"154"
"Number of prevalent tuberculosis cases ","2011","Ukraine",,"66000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Greece",,"9.1"
"Prevalence of tuberculosis (per 100 000 population)","2009","Austria",,"13"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Thailand",,"17"
"Number of prevalent tuberculosis cases ","2009","Austria",,"1000"
"Number of prevalent tuberculosis cases ","2012","Bulgaria",,"3100"
"Number of prevalent tuberculosis cases ","2010","Palau",,"45"
"Number of prevalent tuberculosis cases ","2008","Kazakhstan",,"37000"
"Number of deaths due to tuberculosis excluding HIV","2012","Djibouti",,"660"
"Prevalence of tuberculosis (per 100 000 population)","2012","Bulgaria",,"43"
"Number of deaths due to tuberculosis excluding HIV","2012","Norway",,"6.9"
"Prevalence of tuberculosis (per 100 000 population)","2007","Jordan",,"8.7"
"Number of deaths due to tuberculosis excluding HIV","2011","Lesotho",,"340"
"Number of prevalent tuberculosis cases ","2009","China",,"1500000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Madagascar",,"50"
"Number of prevalent tuberculosis cases ","2012","Kyrgyzstan",,"12000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Qatar",,"0.21"
"Prevalence of tuberculosis (per 100 000 population)","2008","Timor-Leste",,"753"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Slovakia",,"0.63"
"Number of prevalent tuberculosis cases ","2010","Zimbabwe",,"57000"
"Number of prevalent tuberculosis cases ","2012","Swaziland",,"11000"
"Number of prevalent tuberculosis cases ","2012","Solomon Islands",,"830"
"Number of deaths due to tuberculosis excluding HIV","2010","Australia",,"51"
"Number of prevalent tuberculosis cases ","2011","El Salvador",,"2100"
"Number of deaths due to tuberculosis excluding HIV","2009","Somalia",,"5400"
"Number of deaths due to tuberculosis excluding HIV","2009","Saint Vincent and the Grenadines",,"0.94"
"Prevalence of tuberculosis (per 100 000 population)","2009","Saint Vincent and the Grenadines",,"18"
"Number of prevalent tuberculosis cases ","2010","Guyana",,"1000"
"Number of prevalent tuberculosis cases ","2012","Republic of Korea",,"71000"
"Number of deaths due to tuberculosis excluding HIV","2009","Qatar",,"3.3"
"Number of deaths due to tuberculosis excluding HIV","2011","Kazakhstan",,"1700"
"Prevalence of tuberculosis (per 100 000 population)","2012","China",,"99"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","South Africa",,"50"
"Prevalence of tuberculosis (per 100 000 population)","2012","Ghana",,"92"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Saint Vincent and the Grenadines",,"2.6"
"Prevalence of tuberculosis (per 100 000 population)","2012","Swaziland",,"907"
"Prevalence of tuberculosis (per 100 000 population)","2008","Lesotho",,"433"
"Number of prevalent tuberculosis cases ","2008","Lesotho",,"8500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Cook Islands",,"2.3"
"Number of prevalent tuberculosis cases ","2011","Turkmenistan",,"6800"
"Number of deaths due to tuberculosis excluding HIV","2007","C?te d'Ivoire",,"5700"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Trinidad and Tobago",,"2.1"
"Number of deaths due to tuberculosis excluding HIV","2008","Cook Islands",,"0.46"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Jordan",,"0.57"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","C?te d'Ivoire",,"32"
"Number of prevalent tuberculosis cases ","2012","Guinea",,"31000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Zambia",,"24"
"Prevalence of tuberculosis (per 100 000 population)","2012","Lao People's Democratic Republic",,"514"
"Number of prevalent tuberculosis cases ","2009","Chad",,"27000"
"Number of deaths due to tuberculosis excluding HIV","2012","Lao People's Democratic Republic",,"720"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Kazakhstan",,"11"
"Number of prevalent tuberculosis cases ","2010","Albania",,"740"
"Prevalence of tuberculosis (per 100 000 population)","2012","Nauru",,"91"
"Number of prevalent tuberculosis cases ","2008","Sao Tome and Principe",,"230"
"Number of deaths due to tuberculosis excluding HIV","2008","Hungary",,"120"
"Number of deaths due to tuberculosis excluding HIV","2011","Trinidad and Tobago",,"28"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Fiji",,"1.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Montenegro",,"1.3"
"Number of deaths due to tuberculosis excluding HIV","2007","Venezuela (Bolivarian Republic of)",,"680"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Gabon",,"51"
"Number of deaths due to tuberculosis excluding HIV","2008","Finland",,"26"
"Prevalence of tuberculosis (per 100 000 population)","2012","Cambodia",,"764"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Niue",,"1.4"
"Number of prevalent tuberculosis cases ","2009","Cuba",,"1600"
"Number of prevalent tuberculosis cases ","2008","The former Yugoslav Republic of Macedonia",,"570"
"Number of prevalent tuberculosis cases ","2009","C?te d'Ivoire",,"55000"
"Number of deaths due to tuberculosis excluding HIV","2011","Netherlands",,"19"
"Number of deaths due to tuberculosis excluding HIV","2009","Norway",,"8.3"
"Number of deaths due to tuberculosis excluding HIV","2009","Portugal",,"150"
"Number of deaths due to tuberculosis excluding HIV","2009","Congo",,"1800"
"Prevalence of tuberculosis (per 100 000 population)","2010","San Marino",,"2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Libya",,"4.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Guatemala",,"2.3"
"Number of prevalent tuberculosis cases ","2011","Bahamas",,"58"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Benin",,"9.7"
"Number of deaths due to tuberculosis excluding HIV","2007","Mali",,"1300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Palau",,"10"
"Number of prevalent tuberculosis cases ","2011","Italy",,"5300"
"Number of prevalent tuberculosis cases ","2010","Suriname",,"350"
"Number of deaths due to tuberculosis excluding HIV","2009","Sweden",,"18"
"Number of deaths due to tuberculosis excluding HIV","2011","Peru",,"1700"
"Prevalence of tuberculosis (per 100 000 population)","2011","France",,"14"
"Number of prevalent tuberculosis cases ","2007","Cyprus",,"66"
"Number of deaths due to tuberculosis excluding HIV","2008","Democratic Republic of the Congo",,"34000"
"Number of prevalent tuberculosis cases ","2009","Nicaragua",,"3300"
"Prevalence of tuberculosis (per 100 000 population)","2007","Comoros",,"62"
"Number of prevalent tuberculosis cases ","2011","Qatar",,"780"
"Prevalence of tuberculosis (per 100 000 population)","2009","Solomon Islands",,"184"
"Number of prevalent tuberculosis cases ","2009","Libya",,"3300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Mauritius",,"0.97"
"Number of prevalent tuberculosis cases ","2007","New Zealand",,"380"
"Number of prevalent tuberculosis cases ","2012","Republic of Moldova",,"8800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Swaziland",,"63"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","El Salvador",,"1.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Philippines",,"27"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Liberia",,"48"
"Number of deaths due to tuberculosis excluding HIV","2008","Saint Lucia",,"3.3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","The former Yugoslav Republic of Macedonia",,"1.1"
"Prevalence of tuberculosis (per 100 000 population)","2007","Romania",,"186"
"Prevalence of tuberculosis (per 100 000 population)","2012","Cuba",,"14"
"Number of deaths due to tuberculosis excluding HIV","2011","Bangladesh",,"70000"
"Number of deaths due to tuberculosis excluding HIV","2008","Turkmenistan",,"800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Libya",,"6.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Central African Republic",,"72"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Paraguay",,"3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Norway",,"0.14"
"Number of deaths due to tuberculosis excluding HIV","2010","Iraq",,"980"
"Number of deaths due to tuberculosis excluding HIV","2012","Mauritania",,"3500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Canada",,"0.19"
"Number of prevalent tuberculosis cases ","2007","Philippines",,"510000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Eritrea",,"5.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Finland",,"0.39"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Belize",,"4.3"
"Number of prevalent tuberculosis cases ","2007","Tonga",,"33"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Ecuador",,"5"
"Prevalence of tuberculosis (per 100 000 population)","2011","Tuvalu",,"176"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Gabon",,"67"
"Number of prevalent tuberculosis cases ","2010","Barbados",,"7.9"
"Prevalence of tuberculosis (per 100 000 population)","2008","Chile",,"23"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Republic of Moldova",,"18"
"Number of deaths due to tuberculosis excluding HIV","2011","Mozambique",,"13000"
"Number of prevalent tuberculosis cases ","2012","Turkey",,"17000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Indonesia",,"28"
"Number of prevalent tuberculosis cases ","2009","Republic of Moldova",,"9000"
"Number of deaths due to tuberculosis excluding HIV","2010","Haiti",,"2900"
"Prevalence of tuberculosis (per 100 000 population)","2010","Vanuatu",,"105"
"Prevalence of tuberculosis (per 100 000 population)","2009","Luxembourg",,"7.5"
"Number of deaths due to tuberculosis excluding HIV","2010","Venezuela (Bolivarian Republic of)",,"710"
"Number of deaths due to tuberculosis excluding HIV","2009","Sri Lanka",,"760"
"Prevalence of tuberculosis (per 100 000 population)","2007","Kiribati",,"632"
"Number of prevalent tuberculosis cases ","2012","Mongolia",,"11000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Israel",,"0.23"
"Prevalence of tuberculosis (per 100 000 population)","2009","Kuwait",,"60"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Lesotho",,"12"
"Number of prevalent tuberculosis cases ","2009","Canada",,"2500"
"Number of deaths due to tuberculosis excluding HIV","2012","Guinea",,"2600"
"Number of deaths due to tuberculosis excluding HIV","2007","Uganda",,"6400"
"Prevalence of tuberculosis (per 100 000 population)","2009","Kyrgyzstan",,"222"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Belize",,"2.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Senegal",,"20"
"Number of deaths due to tuberculosis excluding HIV","2009","Grenada",,"1.7"
"Number of prevalent tuberculosis cases ","2008","Oman",,"610"
"Prevalence of tuberculosis (per 100 000 population)","2012","Burkina Faso",,"82"
"Number of deaths due to tuberculosis excluding HIV","2011","Switzerland",,"18"
"Number of deaths due to tuberculosis excluding HIV","2011","Ethiopia",,"16000"
"Number of prevalent tuberculosis cases ","2008","Timor-Leste",,"7900"
"Number of prevalent tuberculosis cases ","2008","Namibia",,"23000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Denmark",,"0.63"
"Number of prevalent tuberculosis cases ","2010","Tunisia",,"4100"
"Prevalence of tuberculosis (per 100 000 population)","2010","Tonga",,"28"
"Number of deaths due to tuberculosis excluding HIV","2009","United Republic of Tanzania",,"6000"
"Number of deaths due to tuberculosis excluding HIV","2010","Guyana",,"120"
"Number of deaths due to tuberculosis excluding HIV","2010","Montenegro",,"1.2"
"Number of prevalent tuberculosis cases ","2011","Namibia",,"15000"
"Number of prevalent tuberculosis cases ","2010","Bahrain",,"340"
"Number of prevalent tuberculosis cases ","2007","Belize",,"150"
"Number of deaths due to tuberculosis excluding HIV","2008","Sudan",,"9600"
"Number of deaths due to tuberculosis excluding HIV","2011","Saudi Arabia",,"1100"
"Number of deaths due to tuberculosis excluding HIV","2011","Uruguay",,"53"
"Prevalence of tuberculosis (per 100 000 population)","2010","Albania",,"24"
"Number of prevalent tuberculosis cases ","2007","Rwanda",,"17000"
"Number of prevalent tuberculosis cases ","2010","Maldives",,"170"
"Number of prevalent tuberculosis cases ","2007","Denmark",,"590"
"Prevalence of tuberculosis (per 100 000 population)","2009","Germany",,"8.3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","China",,"3.2"
"Number of deaths due to tuberculosis excluding HIV","2007","Guatemala",,"350"
"Number of prevalent tuberculosis cases ","2009","Mongolia",,"9100"
"Number of prevalent tuberculosis cases ","2011","Uzbekistan",,"52000"
"Prevalence of tuberculosis (per 100 000 population)","2011","South Africa",,"831"
"Number of deaths due to tuberculosis excluding HIV","2010","India",,"320000"
"Number of deaths due to tuberculosis excluding HIV","2012","Congo",,"1800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Guinea-Bissau",,"29"
"Prevalence of tuberculosis (per 100 000 population)","2011","Belgium",,"14"
"Number of deaths due to tuberculosis excluding HIV","2008","Togo",,"530"
"Number of deaths due to tuberculosis excluding HIV","2011","Malawi",,"1500"
"Number of deaths due to tuberculosis excluding HIV","2008","Netherlands",,"25"
"Number of prevalent tuberculosis cases ","2012","Grenada",,"7.1"
"Number of deaths due to tuberculosis excluding HIV","2007","Saint Kitts and Nevis",,"1.1"
"Number of prevalent tuberculosis cases ","2011","Timor-Leste",,"7600"
"Number of deaths due to tuberculosis excluding HIV","2008","Gambia",,"690"
"Number of deaths due to tuberculosis excluding HIV","2011","Brazil",,"5100"
"Number of deaths due to tuberculosis excluding HIV","2009","China",,"56000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Antigua and Barbuda",,"4.8"
"Prevalence of tuberculosis (per 100 000 population)","2012","Cabo Verde",,"237"
"Prevalence of tuberculosis (per 100 000 population)","2007","Dominica",,"16"
"Number of prevalent tuberculosis cases ","2012","Panama",,"2400"
"Number of deaths due to tuberculosis excluding HIV","2010","Marshall Islands",,"47"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Ukraine",,"22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Democratic Republic of the Congo",,"54"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Mexico",,"2.1"
"Prevalence of tuberculosis (per 100 000 population)","2012","Nicaragua",,"55"
"Number of prevalent tuberculosis cases ","2009","Mauritius",,"510"
"Number of prevalent tuberculosis cases ","2012","Croatia",,"840"
"Number of deaths due to tuberculosis excluding HIV","2007","Zimbabwe",,"4100"
"Number of deaths due to tuberculosis excluding HIV","2008","Saudi Arabia",,"1000"
"Number of deaths due to tuberculosis excluding HIV","2007","Botswana",,"580"
"Number of prevalent tuberculosis cases ","2007","Albania",,"710"
"Number of prevalent tuberculosis cases ","2011","Samoa",,"55"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Fiji",,"2.2"
"Prevalence of tuberculosis (per 100 000 population)","2007","Brunei Darussalam",,"91"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Republic of Korea",,"5.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Algeria",,"14"
"Prevalence of tuberculosis (per 100 000 population)","2011","Andorra",,"9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Rwanda",,"12"
"Number of prevalent tuberculosis cases ","2010","New Zealand",,"480"
"Number of deaths due to tuberculosis excluding HIV","2012","Kyrgyzstan",,"520"
"Number of prevalent tuberculosis cases ","2010","Cyprus",,"100"
"Number of prevalent tuberculosis cases ","2007","Costa Rica",,"1400"
"Number of deaths due to tuberculosis excluding HIV","2008","Monaco",,"0.06"
"Prevalence of tuberculosis (per 100 000 population)","2007","Serbia",,"46"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Armenia",,"7.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Sweden",,"0.14"
"Number of deaths due to tuberculosis excluding HIV","2011","Angola",,"7600"
"Number of deaths due to tuberculosis excluding HIV","2007","Guyana",,"110"
"Number of deaths due to tuberculosis excluding HIV","2012","Russian Federation",,"19000"
"Number of prevalent tuberculosis cases ","2007","Niue",,"0.16"
"Number of deaths due to tuberculosis excluding HIV","2012","Latvia",,"53"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Austria",,"0.48"
"Number of deaths due to tuberculosis excluding HIV","2012","Tajikistan",,"610"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Ghana",,"12"
"Number of deaths due to tuberculosis excluding HIV","2010","Malaysia",,"1500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","United Kingdom",,"0.54"
"Number of prevalent tuberculosis cases ","2010","Malta",,"43"
"Prevalence of tuberculosis (per 100 000 population)","2011","Central African Republic",,"579"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Argentina",,"1.3"
"Prevalence of tuberculosis (per 100 000 population)","2007","Papua New Guinea",,"600"
"Number of deaths due to tuberculosis excluding HIV","2007","Myanmar",,"31000"
"Prevalence of tuberculosis (per 100 000 population)","2007","United Arab Emirates",,"6.6"
"Number of prevalent tuberculosis cases ","2011","Monaco",,"0.91"
"Prevalence of tuberculosis (per 100 000 population)","2008","United States of America",,"6.5"
"Number of deaths due to tuberculosis excluding HIV","2007","Croatia",,"99"
"Number of prevalent tuberculosis cases ","2008","El Salvador",,"2500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Antigua and Barbuda",,"1.4"
"Number of prevalent tuberculosis cases ","2010","Philippines",,"470000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Syrian Arab Republic",,"2.1"
"Number of prevalent tuberculosis cases ","2008","Paraguay",,"4200"
"Number of prevalent tuberculosis cases ","2012","Sweden",,"920"
"Prevalence of tuberculosis (per 100 000 population)","2010","Dominican Republic",,"107"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Slovakia",,"0.77"
"Number of prevalent tuberculosis cases ","2010","Saint Kitts and Nevis",,"2.9"
"Number of deaths due to tuberculosis excluding HIV","2007","Panama",,"180"
"Prevalence of tuberculosis (per 100 000 population)","2011","Ukraine",,"144"
"Prevalence of tuberculosis (per 100 000 population)","2011","El Salvador",,"34"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Colombia",,"2.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Qatar",,"0.17"
"Number of prevalent tuberculosis cases ","2007","Israel",,"650"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Democratic People's Republic of Korea",,"10"
"Number of deaths due to tuberculosis excluding HIV","2009","Micronesia (Federated States of)",,"36"
"Number of prevalent tuberculosis cases ","2008","Algeria",,"49000"
"Number of prevalent tuberculosis cases ","2009","United Kingdom",,"14000"
"Number of deaths due to tuberculosis excluding HIV","2009","Lithuania",,"260"
"Number of prevalent tuberculosis cases ","2009","Republic of Korea",,"74000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Pakistan",,"34"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Poland",,"2.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Ghana",,"6.9"
"Number of prevalent tuberculosis cases ","2010","Guatemala",,"16000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Jamaica",,"0.22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Morocco",,"9.2"
"Prevalence of tuberculosis (per 100 000 population)","2012","Liberia",,"495"
"Number of prevalent tuberculosis cases ","2011","Saint Lucia",,"11"
"Number of deaths due to tuberculosis excluding HIV","2008","Ireland",,"18"
"Number of deaths due to tuberculosis excluding HIV","2008","Kazakhstan",,"3100"
"Number of deaths due to tuberculosis excluding HIV","2007","Malta",,"3.9"
"Number of prevalent tuberculosis cases ","2012","Portugal",,"3600"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Djibouti",,"76"
"Number of prevalent tuberculosis cases ","2010","Mali",,"13000"
"Number of deaths due to tuberculosis excluding HIV","2009","Thailand",,"11000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Lesotho",,"439"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Belgium",,"0.33"
"Number of deaths due to tuberculosis excluding HIV","2012","Micronesia (Federated States of)",,"25"
"Prevalence of tuberculosis (per 100 000 population)","2007","Malaysia",,"123"
"Number of deaths due to tuberculosis excluding HIV","2009","Yemen",,"1800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Jordan",,"0.64"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Bolivia (Plurinational State of)",,"22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Dominican Republic",,"6.5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Syrian Arab Republic",,"2.2"
"Number of deaths due to tuberculosis excluding HIV","2010","Zimbabwe",,"4000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Lao People's Democratic Republic",,"596"
"Number of deaths due to tuberculosis excluding HIV","2010","Greece",,"74"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Burkina Faso",,"10"
"Prevalence of tuberculosis (per 100 000 population)","2010","Senegal",,"217"
"Number of deaths due to tuberculosis excluding HIV","2012","Saint Vincent and the Grenadines",,"2.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Bhutan",,"36"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Serbia",,"1.7"
"Number of prevalent tuberculosis cases ","2009","Ghana",,"32000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Mexico",,"34"
"Prevalence of tuberculosis (per 100 000 population)","2011","Timor-Leste",,"689"
"Number of deaths due to tuberculosis excluding HIV","2010","Armenia",,"230"
"Number of deaths due to tuberculosis excluding HIV","2008","Nigeria",,"37000"
"Number of prevalent tuberculosis cases ","2007","India",,"3800000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Czech Republic",,"0.49"
"Number of deaths due to tuberculosis excluding HIV","2012","Austria",,"35"
"Prevalence of tuberculosis (per 100 000 population)","2011","Kazakhstan",,"312"
"Prevalence of tuberculosis (per 100 000 population)","2009","Djibouti",,"929"
"Number of prevalent tuberculosis cases ","2012","Bosnia and Herzegovina",,"2800"
"Prevalence of tuberculosis (per 100 000 population)","2012","Saint Vincent and the Grenadines",,"24"
"Prevalence of tuberculosis (per 100 000 population)","2009","Swaziland",,"757"
"Number of deaths due to tuberculosis excluding HIV","2009","Ecuador",,"730"
"Prevalence of tuberculosis (per 100 000 population)","2012","Chad",,"221"
"Number of deaths due to tuberculosis excluding HIV","2012","Republic of Korea",,"2600"
"Number of prevalent tuberculosis cases ","2012","Luxembourg",,"53"
"Number of deaths due to tuberculosis excluding HIV","2009","Belarus",,"820"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Iceland",,"0.31"
"Prevalence of tuberculosis (per 100 000 population)","2011","Saudi Arabia",,"22"
"Number of prevalent tuberculosis cases ","2010","Comoros",,"420"
"Prevalence of tuberculosis (per 100 000 population)","2009","Pakistan",,"402"
"Number of prevalent tuberculosis cases ","2010","Dominica",,"13"
"Number of deaths due to tuberculosis excluding HIV","2012","Nauru",,"0.95"
"Number of prevalent tuberculosis cases ","2009","Lao People's Democratic Republic",,"37000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Australia",,"8.1"
"Number of prevalent tuberculosis cases ","2009","Bulgaria",,"4300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Sao Tome and Principe",,"15"
"Number of deaths due to tuberculosis excluding HIV","2008","Lebanon",,"54"
"Prevalence of tuberculosis (per 100 000 population)","2011","Montenegro",,"29"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Bulgaria",,"2"
"Number of deaths due to tuberculosis excluding HIV","2011","Azerbaijan",,"390"
